doi,abstract,detected_compounds,detection_number,actual_compound,actual_compnum
10.1021/acs.orglett.0c00818, Methods for the focused isolation of low-abundance natural products with specific chemical substructures could expand known bioactive chemical diversity for drug discovery. Here we report the combined use of genome mining and an 15N NMR-based screening method for the targeted isolation of the low-abundance piperazic-acid-containing peptides incarnatapeptins A (1) and B (3). Incarnatapeptin B (3) shows in vitro cytotoxicity to LNCaP prostate cancer cells. ,"['Incarnatapeptin A', 'Incarnatapeptin B']",2,"['Incarnatapeptin A', 'Incarnatapeptin B']",2
10.1021/acs.orglett.0c00219,"Wheldone (1) was isolated and elucidated from a coculture of Aspergillus fischeri (NRRL 181) and Xylaria flabelliformis (G536), where secondary metabolite biosynthesis was stimulated by antagonism between these fungi. First observed via in situ analysis between these competing fungal cultures, the conditions were scaled to reproducibly generate 1, whose novel structure was elucidated by one- and two-dimensional NMR and mass spectrometry. Compound 1 displayed cytotoxic activity against breast, ovarian, and melanoma cancer cell lines. ",['Wheldone'],1,['Wheldone'],1
10.1021/acs.jnatprod.9b01181,"Chemical analysis of the fungus Chrysosporium sp. CMB-F294 isolated from the gastrointestinal tract of a market-purchased specimen of Mugil mullet yielded eight new alkaloids, belonging to a rare class of phenylpropanoid piperazines. Chrysosporazines F–M (1–8) occur as an equilibrium mixture of acetamide rotamers and feature unprecedented carbocyclic and heterocyclic scaffolds. Structures inclusive of absolute configuration were assigned by detailed spectroscopic analysis, supported by biosynthetic considerations. Structure–activity relationship studies determined that selected chrysosporazines were promising noncytotoxic inhibitors of the multidrug resistance efflux pump P-glycoprotein (P-gp), capable of reversing doxorubicin resistance in P-gp-overexpressing human colon carcinoma cells (SW620 Ad300). Chrysosporazine F (1) was particularly noteworthy, with a 2.5 μM cotreatment inducing a doxorubicin gain in sensitivity (GS 14) > 2-fold that of the positive control verapamil (GS 6.1).","['Chrysosporazine F', 'Chrysosporazine G', 'Chrysosporazine H', 'Chrysosporazine I', 'Chrysosporazine J', 'Chrysosporazine K', 'Chrysosporazine L', 'Chrysosporazine M']",8,"['Chrysosporazine F', 'Chrysosporazine G', 'Chrysosporazine H', 'Chrysosporazine I', 'Chrysosporazine J', 'Chrysosporazine K', 'Chrysosporazine L', 'Chrysosporazine M']",8
10.1002/anie.201914154,"Butenolides are well-known signaling molecules in Gram-positive bacteria. Here, we describe a novel class of butenolides isolated from a Gram-negative Pseudomonas strain, the styrolides. Structure elucidation was aided by the total synthesis of styrolide A. Transposon mutagenesis enabled us to identify the styrolide biosynthetic gene cluster, and by using a homology search, we discovered the related and previously unknown acaterin biosynthetic gene cluster in another Pseudomonas species. Mutagenesis, heterologous expression, and identification of key shunt and intermediate products were crucial to propose a biosynthetic pathway for both Pseudomonas-derived butenolides. Comparative transcriptomics suggests a link between styrolide formation and the regulatory networks of the bacterium.",[],0,"['Styrolide A', 'Styrolide B']",2
10.1002/anie.201914449,"LuxR-type transcriptional activator proteins frequently regulate the expression of biosynthetic gene clusters (BGCs). With only a fraction of bacterial BGCs being expressed under standard culturing conditions, modulation of LuxRs would provide a powerful approach to activate silent clusters. We show that by exploiting the modular nature of LuxR proteins, it is possible to construct functional chimeric LuxRs, which enables both the rewiring of quorum sensing systems and the activation of silent BGCs. Importantly, our strategy allowed us to identify the novel natural product pseudomonol from a bacterium of the genus Pseudomonas.",[],0,['Pseudomonol'],1
10.1038/s41429-019-0247-z,"Two new phenalenone analogs hispidulones A (1) and B (2) were isolated from the specially bioenvironmental desert plant endophytic fungus Chaetosphaeronema hispidulum. The structure of these two compounds were elucidated by extensive spectra analysis including HR-ESI-MS, NMR (1H, 13C, 1H–1H COSY, HSQC, and HMBC), CD, and electronic circular dichroism (ECD) combined with quantum-chemical calculations adopting time-dependent density functional theory (TDDFT) approaches. The W long-ranged 1H–1H COSY and HMBC correlations are very important in the structural elucidation of these two compounds. Hispidulone A (1) possesses a cyclohexa-2,5-dien-1-one moiety, whereas hispidulone B (2) contains a hemiacetal OCH3 group, which are very rare in the structures of phenalenone analogs. According to structural features of these two compounds together considering the literature, the possible biosynthetic pathway of 1 and 2 was postulated. Hispidulone B (2) displayed cytotoxic activities against three cancer cell lines A549, Huh7, and HeLa with IC50 values of 2.71 ± 0.08, 22.93 ± 1.61, and 23.94 ± 0.33 μM.","['Hispidulone A', 'Hispidulone B']",2,"['Hispidulone B', 'Hispidulone A']",2
10.1021/acs.jmedchem.0c00295,"A novel lipopeptide antibiotic, stalobacin I (1), was discovered from a culture broth of an unidentified Gram-negative bacterium. Stalobacin I (1) had a unique chemical architecture composed of an upper and a lower half peptide sequence, which were linked via a hemiaminal methylene moiety. The sequence of 1 contained an unusual amino acid, carnosadine, 3,4-dihydroxyariginine, 3-hydroxyisoleucine, and 3-hydroxyaspartic acid, and a novel cyclopropyl fatty acid. The antibacterial activity of 1 against a broad range of drug-resistant Gram-positive bacteria was much stronger than those of “last resort” antibiotics such as vancomycin, linezolid, and telavancin (MIC 0.004–0.016 μg/mL). Furthermore, compound 1 induced a characteristic morphological change in Gram-positive and Gram-negative strains by inflating the bacterial cell body. The absolute configuration of a cyclopropyl amino acid, carnosadine, was determined by the synthetic study of its stereoisomers, which was an essential component for the strong activity of 1.",['Stalobacin I'],1,['Stalobacin I'],1
10.1038/s41429-019-0246-0,"Within the framework of our effort to discover new bioactive metabolites from Gram-negative bacteria, trinickiabactin (1) was isolated from the plant pathogenic strain Trinickia caryophylli DSM 50341. Whole genome sequencing allowed the identification of its biosynthetic gene cluster. The structure of 1 bears a rare diazeniumdiolate ligand system and was elucidated by a combination of NMR- and MS-spectroscopic techniques and bioinformatics. Trinickiabactin was found to be antibacterial toward several Gram-negative bacteria (MIC values ranged from 3.5 to 34.0 µg ml−1).",['Trinickiabactin'],1,['Trinickiabactin'],1
10.1016/j.phytochem.2019.112238,"Two new compounds, 3'-epi-16-hydroxyverrucarin A and 3'-epiverrucarin X, have been isolated and identified, and the characterization data of a series of known trichothecenes have been refined. The interesting structure and potent biological activities of macrocyclic trichothecenes have been of interest to the scientific community for several decades. However, some of the characterization data for the older analogues of this class are not well documented, either because of a lack of absolute configuration or a lack of clarity in the NMR data, largely due to technological limitations at the time they were discovered. NMR techniques, application of Mosher's esters analysis, and electronic circular dichroism were used here both to refine the characterization of known trichothecenes, as well as to uncover new structures. These studies demonstrate strategies that can be used to interrogate the characterization data of well-known secondary metabolites, thereby gaining greater insight into methods that can be used to refine previous literature.",[],0,"['3′-epi-16-hydroxyverrucarin A', '3′-epiverrucarin X']",2
10.1002/anie.201916005,"Bacterial trans-acyltransferase polyketide synthases (trans-AT PKSs) are multimodular megaenzymes that biosynthesize many bioactive natural products. They contain a remarkable range of domains and module types that introduce different substituents into growing polyketide chains. As one such modification, we recently reported Baeyer-Villiger-type oxygen insertion into nascent polyketide backbones, thereby generating malonyl thioester intermediates. In this work, genome mining focusing on architecturally diverse oxidation modules in trans-AT PKSs led us to the culturable plant symbiont Gynuella sunshinyii, which harbors two distinct modules in one orphan PKS. The PKS product was revealed to be lobatamide A, a potent cytotoxin previously only known from a marine tunicate. Biochemical studies show that one module generates glycolyl thioester intermediates, while the other is proposed to be involved in oxime formation. The data suggest varied roles of oxygenation modules in the biosynthesis of polyketide scaffolds and support the importance of trans-AT PKSs in the specialized metabolism of symbiotic bacteria.",[],0,['Lobatamide A'],1
10.1002/anie.201916321,"Proteusins are a family of bacterial ribosomal peptides that largely remain hypothetical genome-predicted metabolites. The only known members are the polytheonamide-type cytotoxins, which have complex structures due to numerous unusual posttranslational modifications (PTMs). Cyanobacteria contain large numbers of putative proteusin loci. To investigate their chemical and pharmacological potential beyond polytheonamide-type compounds, we characterized landornamide A, the product of the silent osp gene cluster from Kamptonema sp. PCC 6506. Pathway reconstruction in E. coli revealed a peptide combining lanthionines, d-residues, and, unusually, two ornithines introduced by the arginase-like enzyme OspR. Landornamide A inhibited lymphocytic choriomeningitis virus infection in mouse cells, thus making it one of the few known anti-arenaviral compounds. These data support proteusins as a rich resource of chemical scaffolds, new maturation enzymes, and bioactivities.",[],0,['Landornamide A'],1
10.1002/cbic.201900511,"Cyanobactins are a large family of cyanobacterial ribosomally synthesized and post-translationally modified peptides (RiPPs) often associated with biological activities, such as cytotoxicity, antiviral, and antimalarial activities. They are traditionally described as cyclic molecules containing heterocyclized amino acids. However, this definition has been recently challenged by the discovery of short, linear cyanobactins containing three to five amino acids as well as cyanobactins containing no heterocyclized residues. Herein we report the discovery of scytodecamide (1) from the freshwater cyanobacterium Scytonema sp. UIC 10036. Structural elucidation based on mass spectrometry, 1D and 2D NMR spectroscopy, and Marfey's method revealed 1 to be a linear decapeptide with an N-terminal N-methylation and a C-terminal amidation. The genome of Scytonema sp. UIC 10036 was sequenced, and bioinformatic analysis revealed a cyanobactin-like biosynthetic gene cluster consistent with the structure of 1. The discovery of 1 as a novel linear peptide containing an N-terminal N-methylation and a C-terminal amidation expands the chemical and genetic diversity of the cyanobactin family of compounds.",['Scytodecamide'],1,['Scytodecamide'],1
10.1002/ps.5673,"BACKGROUND: Larvae of the diamond back moth (DBM), Plutella xylostella, are destructive cabbage pests causing economic losses worldwide. Continuous application of synthetic pesticides to control this pest has resulted in environmental pollution and resistant pest strains. Thus, there is a crucial need to seek natural alternatives with minimal detrimental effects. This study was designed to investigate the antifeedant activities of endophytic fungi of Cyperus iria and to determine the antifeedant, contact toxicity and oviposition deterrent activities of phyllostine acetate and phyllostine of the endophytic Diaporthe miriciae fungus._x000D_
RESULTS: Two cyclohexeneoxidediones, phyllostine acetate (1) and phyllostine (2), isolated from an ethyl acetate extract of D. miriciae exhibited strong antifeedant, contact toxicity, and oviposition deterrent activities against P. xylostella. Phyllostine acetate (1) and phyllostine (2) showed feeding deterrent indexes of 100% at 50 μg cm_x000D_
CONCLUSION: Phyllostine acetate and phyllostine show promise as compounds for the control of P. xylostella. This study encourages further investigation of endophytic fungi of the family Cyperacea, for the development of natural pest control agents in agriculture. © 2019 Society of Chemical Industry.","['Phyllostine', 'Phyllostine acetate']",2,['Phyllostine acetate'],1
10.1016/j.fitote.2019.104194,"Four unusual heterodimeric tetrahydroxanthones, usneaxanthones A–D (1–4) were isolated from lichen Usnea aciculifera Vain (Parmeliaceae). Their structures and absolute configurations, particularly the central and axial chiralities, were unambiguously demonstrated by a combination of spectroscopic data (1D, 2D NMR, HRESIMS), electronic circular dichroism (ECD) experiments, and single-crystal X-ray crystallographic analyses. Cytotoxic effects of isolated compounds (1, 2 and 4) were evaluated on HT–29 human colorectal cancer cells. Compound 4 showed potent cytotoxicity against HT–29 with IC50 values of 2.41 μM.","['Usneaxanthone A', 'Usneaxanthone B', 'Usneaxanthone C', 'Usneaxanthone D']",4,"['Usneaxanthone A', 'Usneaxanthone B', 'Usneaxanthone C', 'Usneaxanthone D']",4
10.1016/j.fitote.2019.104243,"Two new sesquiterpenoids, leptosphins A (1) and B (2), and a new cyclopiane diterpene, leptosphin C (3), along with four known diterpenes (4–7) were isolated from the solid fermentation cultures of an endophytic fungus Leptosphaeria sp. XL026 isolated from the leaves of Panax notoginseng. Their structures were elucidated by extensive spectroscopic methods and single-crystal X-ray diffraction (data). Compound 1 represents the first sulfur-containing eremophilane sesquiterpene. Compounds 5 and 7 displayed medium antifungal activity against Rhizoctonia cerealis, as well as 6 against Verticillium dahliae Kleb with an MIC value of 12.5 μg/mL. Furthermore, compounds 2, 5, 6 and 7 showed medium antibacterial activity against Bacillus cereus with MIC values of 12.5–6.25 μg/mL, as well as 6 also against Pseudomonas aeruginosa with an MIC value of 12.5 μg/mL.","['Leptosphin A', 'Leptosphin B', 'Leptosphin C']",3,"['Leptosphin A', 'Leptosphin B', 'Leptosphin C']",3
10.1002/anie.201906326,"Siderophores are key players in bacteria–host interactions, with the main function to provide soluble iron for their producers. Gramibactin from rhizosphere bacteria expands siderophore function and diversity as it delivers iron to the host plant and features an unusual diazeniumdiolate moiety for iron chelation. By mutational analysis of the grb gene cluster, we identified genes (grbD and grbE) necessary for diazeniumdiolate formation. Genome mining using a GrbD-based network revealed a broad range of orthologous gene clusters in mainly plant-associated Burkholderia/Paraburkholderia species. Two new types of diazeniumdiolate siderophores, megapolibactins and plantaribactin were fully characterized. In vitro assays and in vivo monitoring experiments revealed that the iron chelators also liberate nitric oxide (NO) in plant roots. This finding is important since NO donors are considered as biofertilizers that maintain iron homeostasis and increase overall plant fitness.",[],0,"['Megapolibactin A', 'Megapolibactin B', 'Megapolibactin C', 'Megapolibactin D', 'Megapolibactin E', 'Megapolibactin F', 'Plantaribactin', 'Gladiobactin']",8
10.1002/anie.201902571,"Hybrid type I PKS/NRPS biosynthetic pathways typically proceed in a collinear manner wherein one molecular building block is enzymatically incorporated in a sequence that corresponds to gene arrangement. In this work, genome mining combined with the use of a fluorogenic azide-based click probe led to the discovery and characterization of vatiamides A–F, three structurally diverse alkynylated lipopeptides, and their brominated analogues, from the cyanobacterium Moorea producens ASI16Jul14-2. These derive from a unique combinatorial non-collinear PKS/NRPS system encoded by a 90 kb gene cluster in which an upstream PKS cassette interacts with three separate cognate NRPS partners. This is facilitated by a series of promiscuous intermodule PKS-NRPS docking motifs possessing identical amino acid sequences. This interaction confers a new type of combinatorial capacity for creating molecular diversity in microbial systems.","['Vatiamide A', 'Vatiamide B', 'Vatiamide C', 'Vatiamide D', 'Vatiamide E', 'Vatiamide F']",6,"['Vatiamide A', 'Vatiamide B', 'Vatiamide C', 'Vatiamide D', 'Vatiamide E', 'Vatiamide F']",6
10.1016/j.fitote.2019.104246,"Chemical investigation of the mangrove endophytic fungus Cladosporium sp. SCNU-F0001 resulted in the isolation and identification of a new macrolide compound named thiocladospolide E (1) and a novel macrolide lactam named cladospamide A (2), along with the known cladospolide B (3). The structures were elucidated based on spectroscopic methods, and the absolute configurations were determined by X-ray diffraction and HPLC analysis after chemical derivatization. All compounds were tested for their antibacterial and cytotoxic activity.","['Cladospamide A', 'Cladospolide B', 'Thiocladospolide E']",3,"['Thiocladospolide E', 'Cladospamide A']",2
10.1002/anie.201905966,"Bipolarolides A–G (1–7), seven novel ophiobolin-derived sesterterpenes with three new types of skeletons, were characterized from fungus Bipolaris sp. TJ403-B1. Their structures were determined via spectroscopic analyses, X-ray crystallography, and quantum chemical 13C NMR and electronic circular dichroism (ECD) calculations. Compounds 1 and 2 were uniquely defined by a multicyclic caged oxapentacyclo[9.3.0.01,6.05,9.18,12]pentadecane-bridged system. Compounds 3 and 4 featured an unprecedented 5-5-5-5-fused core skeleton, while 3 also contained an unexpected C-3–C-14 oxygen bridge to construct the caged architecture. Compounds 5–7 form a new class of highly modified pentacyclic oxaspiro[4.4]nonane-containing sesterterpene-alkaloid hybrids. Their biosynthetic pathways and potential HMG-CoA reductase inhibitory and antimicrobial activities are also discussed.","['Bipolarolide A', 'Bipolarolide B', 'Bipolarolide C', 'Bipolarolide D', 'Bipolarolide E', 'Bipolarolide F', 'Bipolarolide G']",7,"['Bipolarolide A', 'Bipolarolide B', 'Bipolarolide C', 'Bipolarolide D', 'Bipolarolide E', 'Bipolarolide F', 'Bipolarolide G']",7
10.1002/anie.201902950,Three diterpene synthases from actinomycetes have been studied. The first enzyme from Streptomyces cattleya produced the novel compound cattleyene. The other two enzymes from Nocardia testacea and Nocardia rhamnosiphila were identified as phomopsene synthases. The cyclisation mechanism of cattleyene synthase and the EIMS fragmentation mechanism of its product were extensively studied by incubation experiments with isotopically labelled precursors. Oxidative transformations expanded the chemical space of these unique diterpenes.,[],0,['Cattleyene'],1
10.1021/acs.jafc.9b06105,"During the cultivation of the edible mushroom Fomitopsis betulina on agro-industrial side streams, a pleasant flavor strongly reminiscent of pineapple was perceived. Aroma extract dilution analyses identified two flavor components with a distinct pineapple odor. On the basis of mass spectrometric data, a Wittig reaction of (E)-penta-2,4-dien-1-yltriphosphonium bromide with ethyl levulinate was conducted. The resulting (5E/Z,7E,9)-decatrien-2-ones were identical to the compounds isolated from the fungal culture. Some structurally related methyl ketones were synthesized, confirmed by nuclear magnetic resonance and mass spectrometry, and their odor was characterized. The lowest odor threshold and most characteristic pineapple-like odor was found for (5Z,7E,9)-decatrien-2-one. Global minimum energy calculation of the methyl ketones and the comparison to (1,3E,5Z)-undecatriene, a character impact compound of fresh pineapple, showed that a chain length of at least 10 carbon atoms and a terminal double bond embedded in a ""L""-shaped conformation were common to compounds imparting an intense pineapple-like odor. Both (5E/Z,7E,9)-decatrien-2-ones have not been described as natural flavor compounds.",[],0,"['(5Z,7E,9)-decatrien-2-one', '(5E,7E,9)-decatrien-2-one']",2
10.1016/j.fitote.2019.104187,"Four new compounds: diaporthichalasins A-C (1–3) and biatriosporin N (7), along with six known compounds (4–6 and 8–10) were separated from the culture of the fungus Diaporthe sp. GZU-1021. The absolute configurations of 1–3 were determined by quantum chemical calculations, X-ray diffraction, and spectroscopic analysis. The structure of 4 was analyzed by X-ray crystallography analysis for the first time. All of the isolates were evaluated on the production of nitric oxide in lipopolysaccharide-induced microglial cells (RAW 264.7 cells). Compounds 5–10 exhibited significant inhibitory effects against nitric oxide production with IC50 values from 1.94 to 16.5 μM than positive control (indomethacin, IC50 = 29.7 μM). This is the first time tetrahydroxanthone dimer (10), as a novel carbon skeleton possessing NO inhibitory activity, was reported.","['Biatriosporin N', 'Diaporthichalasin A', 'Diaporthichalasin B', 'Diaporthichalasin C', 'Tetrahydroxanthone dimer']",5,"['Diaporthichalasin A', 'Diaporthichalasin B', 'Diaporthichalasin C', 'Biatriosporin N']",4
10.1016/j.fitote.2019.104184,"Five new phthalide derivatives, biscogniphthalides A-D (1, 2, 3a/3b, and 4), were isolated from Biscogniauxia sp. (No. 69-8-7-1), along with one related known phthalide (5). Their structures were determined by comprehensive spectroscopic analyses, chemical derivatization, and quantum chemical ECD calculations. In addition, the anti-acetyl cholinesterase, antimicrobial, and anti-α-glucosidase activities of 1–5 were evaluated.","['Biscogniphthalide A', 'Biscogniphthalide B', 'Biscogniphthalide C', 'Biscogniphthalide D']",4,"['Biscogniphthalide A', 'Biscogniphthalide B', 'Biscogniphthalide D', 'Biscogniphthalide C']",4
